structure,corner_1,corner_2,corner_3,corner_4,type
Water_1,"50,116","50,44","130,44","130,116",WATER
maison_1,"6,154","6,144","18,144","18,154",MAISON
maison_2,"164,18","164,6","174,6","174,18",MAISON
maison_3,"6,16","6,6","18,6","18,16",MAISON
maison_4,"146,154","146,144","158,144","158,154",MAISON
maison_5,"86,19","86,7","96,7","96,19",MAISON
maison_6,"135,85","135,75","147,75","147,85",MAISON
maison_7,"78,133","78,121","88,121","88,133",MAISON
maison_8,"10,85","10,75","22,75","22,85",MAISON
maison_9,"164,89","164,77","174,77","174,89",MAISON
bungalow_10,"146,110","146,103","157,103","157,110",BUNGALOW
bungalow_11,"170,115","170,104","177,104","177,115",BUNGALOW
bungalow_12,"160,115","160,104","167,104","167,115",BUNGALOW
bungalow_13,"145,120","145,113","156,113","156,120",BUNGALOW
bungalow_14,"164,125","164,118","175,118","175,125",BUNGALOW
bungalow_15,"170,155","170,144","177,144","177,155",BUNGALOW
bungalow_16,"148,132","148,125","159,125","159,132",BUNGALOW
bungalow_17,"166,135","166,128","177,128","177,135",BUNGALOW
bungalow_18,"135,113","135,102","142,102","142,113",BUNGALOW
bungalow_19,"135,128","135,117","142,117","142,128",BUNGALOW
bungalow_20,"127,157","127,146","134,146","134,157",BUNGALOW
bungalow_21,"125,129","125,118","132,118","132,129",BUNGALOW
bungalow_22,"125,140","125,133","136,133","136,140",BUNGALOW
bungalow_23,"117,157","117,146","124,146","124,157",BUNGALOW
bungalow_24,"115,127","115,116","122,116","122,127",BUNGALOW
eengezinswoning_25,"114,143","114,135","122,135","122,143",EENGEZINSWONING
eengezinswoning_26,"106,158","106,150","114,150","114,158",EENGEZINSWONING
eengezinswoning_27,"78,158","78,150","86,150","86,158",EENGEZINSWONING
eengezinswoning_28,"104,147","104,139","112,139","112,147",EENGEZINSWONING
eengezinswoning_29,"104,127","104,119","112,119","112,127",EENGEZINSWONING
eengezinswoning_30,"104,137","104,129","112,129","112,137",EENGEZINSWONING
eengezinswoning_31,"95,158","95,150","103,150","103,158",EENGEZINSWONING
eengezinswoning_32,"94,148","94,140","102,140","102,148",EENGEZINSWONING
eengezinswoning_33,"94,124","94,116","102,116","102,124",EENGEZINSWONING
eengezinswoning_34,"94,135","94,127","102,127","102,135",EENGEZINSWONING
eengezinswoning_35,"80,147","80,139","88,139","88,147",EENGEZINSWONING
eengezinswoning_36,"70,147","70,139","78,139","78,147",EENGEZINSWONING
eengezinswoning_37,"68,158","68,150","76,150","76,158",EENGEZINSWONING
eengezinswoning_38,"64,134","64,126","72,126","72,134",EENGEZINSWONING
eengezinswoning_39,"60,148","60,140","68,140","68,148",EENGEZINSWONING
eengezinswoning_40,"58,158","58,150","66,150","66,158",EENGEZINSWONING
eengezinswoning_41,"64,124","64,116","72,116","72,124",EENGEZINSWONING
eengezinswoning_42,"54,134","54,126","62,126","62,134",EENGEZINSWONING
eengezinswoning_43,"50,144","50,136","58,136","58,144",EENGEZINSWONING
eengezinswoning_44,"48,158","48,150","56,150","56,158",EENGEZINSWONING
eengezinswoning_45,"54,124","54,116","62,116","62,124",EENGEZINSWONING
eengezinswoning_46,"44,132","44,124","52,124","52,132",EENGEZINSWONING
eengezinswoning_47,"40,142","40,134","48,134","48,142",EENGEZINSWONING
eengezinswoning_48,"38,156","38,148","46,148","46,156",EENGEZINSWONING
eengezinswoning_49,"34,132","34,124","42,124","42,132",EENGEZINSWONING
eengezinswoning_50,"42,122","42,114","50,114","50,122",EENGEZINSWONING
eengezinswoning_51,"6,124","6,116","14,116","14,124",EENGEZINSWONING
eengezinswoning_52,"32,122","32,114","40,114","40,122",EENGEZINSWONING
eengezinswoning_53,"22,124","22,116","30,116","30,124",EENGEZINSWONING
eengezinswoning_54,"42,112","42,104","50,104","50,112",EENGEZINSWONING
eengezinswoning_55,"42,85","42,77","50,77","50,85",EENGEZINSWONING
eengezinswoning_56,"21,113","21,105","29,105","29,113",EENGEZINSWONING
eengezinswoning_57,"32,112","32,104","40,104","40,112",EENGEZINSWONING
eengezinswoning_58,"2,113","2,105","10,105","10,113",EENGEZINSWONING
eengezinswoning_59,"41,100","41,92","49,92","49,100",EENGEZINSWONING
eengezinswoning_60,"31,102","31,94","39,94","39,102",EENGEZINSWONING
networth,28115362
