structure,corner_1 (bottom_left),corner_2 (bottom_right),corner_3 (top_left),corner_4 (top_right),type
Water_1,"(0, 0)","(0, 0)","(0, 0)","(0, 0)",WATER
single_1,"(2, 15)","(4, 15)","(2, 13)","(2, 13)",SINGLE
single_2,"(15, 3)","(17, 3)","(15, 1)","(15, 1)",SINGLE
single_3,"(1, 3)","(3, 3)","(1, 1)","(1, 1)",SINGLE
single_4,"(14, 15)","(16, 15)","(14, 13)","(14, 13)",SINGLE
single_5,"(8, 3)","(10, 3)","(8, 1)","(8, 1)",SINGLE
single_6,"(15, 9)","(17, 9)","(15, 7)","(15, 7)",SINGLE
networth,1863900.0
