structure,corner_1,corner_2,corner_3,corner_4,type
Water_1,"50,116","50,44","130,44","130,116",WATER
maison_1,"6,154","6,144","18,144","18,154",MAISON
maison_2,"164,18","164,6","174,6","174,18",MAISON
maison_3,"7,16","7,6","19,6","19,16",MAISON
maison_4,"146,154","146,144","158,144","158,154",MAISON
maison_5,"86,23","86,11","96,11","96,23",MAISON
maison_6,"22,85","22,75","34,75","34,85",MAISON
bungalow_7,"77,137","77,126","84,126","84,137",BUNGALOW
bungalow_8,"136,84","136,77","147,77","147,84",BUNGALOW
bungalow_9,"170,89","170,78","177,78","177,89",BUNGALOW
bungalow_10,"155,88","155,77","162,77","162,88",BUNGALOW
bungalow_11,"136,94","136,87","147,87","147,94",BUNGALOW
bungalow_12,"150,98","150,91","161,91","161,98",BUNGALOW
bungalow_13,"164,99","164,92","175,92","175,99",BUNGALOW
bungalow_14,"134,104","134,97","145,97","145,104",BUNGALOW
bungalow_15,"148,108","148,101","159,101","159,108",BUNGALOW
bungalow_16,"165,109","165,102","176,102","176,109",BUNGALOW
eengezinswoning_17,"137,115","137,107","145,107","145,115",EENGEZINSWONING
eengezinswoning_18,"170,120","170,112","178,112","178,120",EENGEZINSWONING
eengezinswoning_19,"149,119","149,111","157,111","157,119",EENGEZINSWONING
eengezinswoning_20,"160,120","160,112","168,112","168,120",EENGEZINSWONING
eengezinswoning_21,"114,158","114,150","122,150","122,158",EENGEZINSWONING
eengezinswoning_22,"117,126","117,118","125,118","125,126",EENGEZINSWONING
eengezinswoning_23,"127,124","127,116","135,116","135,124",EENGEZINSWONING
eengezinswoning_24,"116,137","116,129","124,129","124,137",EENGEZINSWONING
eengezinswoning_25,"115,148","115,140","123,140","123,148",EENGEZINSWONING
eengezinswoning_26,"104,158","104,150","112,150","112,158",EENGEZINSWONING
eengezinswoning_27,"107,124","107,116","115,116","115,124",EENGEZINSWONING
eengezinswoning_28,"105,137","105,129","113,129","113,137",EENGEZINSWONING
eengezinswoning_29,"105,148","105,140","113,140","113,148",EENGEZINSWONING
eengezinswoning_30,"81,158","81,150","89,150","89,158",EENGEZINSWONING
eengezinswoning_31,"97,125","97,117","105,117","105,125",EENGEZINSWONING
eengezinswoning_32,"94,137","94,129","102,129","102,137",EENGEZINSWONING
eengezinswoning_33,"95,148","95,140","103,140","103,148",EENGEZINSWONING
eengezinswoning_34,"94,158","94,150","102,150","102,158",EENGEZINSWONING
eengezinswoning_35,"87,124","87,116","95,116","95,124",EENGEZINSWONING
eengezinswoning_36,"85,148","85,140","93,140","93,148",EENGEZINSWONING
eengezinswoning_37,"75,148","75,140","83,140","83,148",EENGEZINSWONING
eengezinswoning_38,"137,125","137,117","145,117","145,125",EENGEZINSWONING
eengezinswoning_39,"170,130","170,122","178,122","178,130",EENGEZINSWONING
eengezinswoning_40,"127,134","127,126","135,126","135,134",EENGEZINSWONING
networth,24475270
